a,b,n_full,n_margin,effect_full,effect_margin,delta,abs_delta,sign_flip
Claude Opus 4.5 (Inspect),o1-preview,142,54,0.33379443326626423,0.6577380952380951,0.3239436619718309,0.3239436619718309,False
Claude Opus 4.5 (Inspect),o3 (Inspect),157,60,0.08789808917197453,0.1716666666666667,0.08376857749469216,0.08376857749469216,False
Claude Opus 4.6 (Inspect),GPT-4 0314,142,53,0.5994299128101945,0.880503144654088,0.28107323184389343,0.28107323184389343,False
Claude Opus 4.6 (Inspect),GPT-4 1106 (Inspect),157,60,0.5851531695480741,0.8652777777777777,0.28012460822970364,0.28012460822970364,False
Claude Opus 4.6 (Inspect),GPT-4 Turbo (Inspect),157,60,0.6127540188049742,0.8805555555555556,0.2678015367505815,0.2678015367505815,False
Claude Opus 4.6 (Inspect),GPT-4o (Inspect),157,60,0.5278283287837428,0.7861111111111111,0.25828278232736834,0.25828278232736834,False
Claude Opus 4.6 (Inspect),GPT-5 (Inspect),157,60,0.08468993851159456,0.04777777777777778,-0.036912160733816785,0.036912160733816785,False
Claude Opus 4.6 (Inspect),GPT-5.1-Codex-Max (Inspect),157,60,0.06232939035486806,0.03888888888888888,-0.023440501465979174,0.023440501465979174,False
Claude Opus 4.6 (Inspect),GPT-5.2,157,60,0.007923870185016684,-0.032638888888888884,-0.040562759073905566,0.040562759073905566,True
Claude Opus 4.6 (Inspect),GPT-5.3-Codex,157,60,0.019601152562936,0.01527777777777778,-0.004323374785158219,0.004323374785158219,False
Claude Opus 4.6 (Inspect),Gemini 3 Pro,157,60,0.06445253260539885,0.023611111111111107,-0.04084142149428774,0.04084142149428774,False
Claude Opus 4.6 (Inspect),human,117,42,0.17863025280566508,0.2691267886464931,0.09049653584082801,0.09049653584082801,False
Claude Opus 4.6 (Inspect),o1 (Inspect),157,60,0.2730512587200485,0.4527777777777778,0.1797265190577293,0.1797265190577293,False
Claude Opus 4.6 (Inspect),o1-preview,142,54,0.37923373574782027,0.6330467372134039,0.2538130014655836,0.2538130014655836,False
Claude Opus 4.6 (Inspect),o3 (Inspect),157,60,0.1316499848346982,0.1494444444444444,0.01779445960974621,0.01779445960974621,False
GPT-4 0314,GPT-4 1106 (Inspect),142,53,-0.01349765258215963,-0.00943396226415095,0.00406369031800868,0.00406369031800868,False
GPT-4 0314,GPT-4 Turbo (Inspect),142,53,0.01995305164319248,0.014150943396226408,-0.005802108246966073,0.005802108246966073,False
GPT-4 0314,GPT-4o (Inspect),142,53,-0.06807511737089203,-0.09905660377358491,-0.03098148640269288,0.03098148640269288,False
GPT-4 0314,GPT-5 (Inspect),142,53,-0.5118971404182672,-0.8207547169811322,-0.30885757656286505,0.30885757656286505,False
GPT-4 0314,GPT-5.1-Codex-Max (Inspect),142,53,-0.5328638497652581,-0.8207547169811321,-0.287890867215874,0.287890867215874,False
GPT-4 0314,GPT-5.2,142,53,-0.5900821596244131,-0.8985849056603775,-0.3085027460359644,0.3085027460359644,False
